year,month,SO2 1st Max Hour
2007,1,13.394366197183098
2007,2,11.9
2007,3,9.658227848101266
2007,4,8.644444444444444
2007,5,10.327956989247312
2007,6,11.344827586206897
2007,7,12.402985074626866
2007,8,9.952054794520548
2007,9,10.444444444444445
2007,10,11.198924731182796
2007,11,12.066666666666666
2007,12,11.472527472527473
2008,1,11.82258064516129
2008,2,11.793103448275861
2008,3,9.330985915492958
2008,4,11.65
2008,5,11.266129032258064
2008,6,10.208333333333334
2008,7,9.424528301886792
2008,8,12.333333333333334
2008,9,11.830508474576272
2008,10,12.17741935483871
2008,11,11.091666666666667
2008,12,11.629032258064516
2009,1,12.790322580645162
2009,2,11.5
2009,3,10.140350877192983
2009,4,11.133333333333333
2009,5,12.056451612903226
2009,6,11.427272727272728
2009,7,11.04054054054054
2009,8,12.755555555555556
2009,9,11.885964912280702
2009,10,11.629032258064516
2009,11,11.125
2009,12,11.443548387096774
